order_item_id	order_id	order_item_name	order_item_type
992	5245	Express	shipping
999	5250	Laptop DC Tip Converter 5.5 x 2.1mm female To 4.0 x 1.35mm for Asus Laptops	line_item
1000	5250	Express	shipping
1001	5251	German Ventilating Needle 1 Piece for Lace Wig making Size 1-1, 1-2, 2-3, 3-4 choose size - 2-3	line_item
1002	5251	German Ventilating Needle 1 Piece for Lace Wig making Size 1-1, 1-2, 2-3, 3-4 choose size - 3-4	line_item
1003	5251	Ordinary	shipping
1004	5256	Universal Laptop Charger with 18 DC Plugs 96W Charger Laptop Adapter with Adjustable Voltage 12V to 24V	line_item
1005	5256	Express	shipping
1006	5257	Laptop DC Tip Converter Type-C female To 7.4x5.0mm male 90 Degree	line_item
1007	5257	USB Boost Converter DC 5V to 9V 12V works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
1008	5257	Express	shipping
1016	5298	USB Boost Converter DC 5V to 9V 12V works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
1017	5298	Express	shipping
1048	5325	Laptop DC Tip Converter 5.5x2.1mm female To 7.9 x 5.5mm Male for Lenovo Thinkpad Laptop	line_item
1049	5325	Ordinary	shipping
1051	5326	Laptop DC Tip Converter Type-C female To 7.4x5.0mm male 90 Degree	line_item
1052	5326	Express	shipping
1061	5386	Stitch Markers Locking type 50 Nos Mixed Color Plastic for Hand Knitting Wool Sewing Crochet Clip Knitting Crochet Markers	line_item
1062	5386	Ordinary	shipping
1081	5419	Laptop DC Tip Converter 5.5x2.1mm female To 7.9 x 5.5mm Male for Lenovo Thinkpad Laptop	line_item
1082	5419	Local pickup	shipping
1111	5454	USB 5V to DC 12V Power Cable works with Amazon Echo Dot (3rd Gen Only), Echo Dot with Clock, Echo Dot Kids Edition, Echo Show 5, Echo Spot, Fire TV Cube	line_item
