order_item_id	meta_key	meta_value
301	_last_added_fee	Discount for Direct Payment 5%
301	_line_tax	0
301	_line_tax_data	a:1:{s:5:"total";a:0:{}}
301	_line_total	-109.25
301	_tax_class	0
301	_tax_status	taxable
302	cost	210.00
302	instance_id	4
302	Items	Plastic Paint bucket opener Plastic Gallon Barrel Drum Pail Opener &times; 5
302	method_id	flat_rate
302	taxes	a:1:{s:5:"total";a:0:{}}
302	total_tax	0
309	_line_subtotal	390
309	_line_subtotal_tax	0
309	_line_tax	0
309	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
309	_line_total	390
309	_product_id	4237
309	_qty	2
309	_tax_class	
309	_variation_id	0
310	_fee_amount	-25.5
310	_last_added_fee	Discount for Direct Payment 5%
310	_line_tax	0
310	_line_tax_data	a:1:{s:5:"total";a:0:{}}
310	_line_total	-25.5
310	_tax_class	0
310	_tax_status	taxable
311	cost	120.00
311	instance_id	4
311	Items	DC 5.5 x 2.1mm Female to 4.5 x 3.0mm Male connector tip &times; 2
311	method_id	flat_rate
311	taxes	a:1:{s:5:"total";a:0:{}}
311	total_tax	0
312	_line_subtotal	100
312	_line_subtotal_tax	0
312	_line_tax	0
312	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
312	_line_total	100
312	_product_id	1828
312	_qty	1
312	_reduced_stock	1
312	_tax_class	
312	_variation_id	1843
312	size	Mixed
313	_fee_amount	-7.75
313	_last_added_fee	Discount for Direct Payment 5%
313	_line_tax	0
313	_line_tax_data	a:1:{s:5:"total";a:0:{}}
313	_line_total	-7.75
313	_tax_class	0
313	_tax_status	taxable
314	cost	55.00
314	instance_id	7
314	Items	Curved Needle 5 Pcs for Wig making Mattress Upholstery Leather sewing choose size - Mixed &times; 1
314	method_id	flat_rate
314	taxes	a:1:{s:5:"total";a:0:{}}
314	total_tax	0
315	_line_subtotal	295
315	_line_subtotal_tax	0
315	_line_tax	0
315	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
315	_line_total	295
315	_product_id	3130
315	_qty	1
315	_reduced_stock	1
315	_tax_class	
315	_variation_id	0
316	cost	90.00
316	instance_id	4
316	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
316	method_id	flat_rate
316	taxes	a:1:{s:5:"total";a:0:{}}
316	total_tax	0
317	_line_subtotal	295
317	_line_subtotal_tax	0
317	_line_tax	0
317	_line_tax_data	a:2:{s:5:"total";a:0:{}s:8:"subtotal";a:0:{}}
317	_line_total	295
317	_product_id	3130
317	_qty	1
317	_reduced_stock	1
317	_tax_class	
317	_variation_id	0
318	_fee_amount	150
318	_last_added_fee	COD Handling fee
318	_line_tax	0
318	_line_tax_data	a:1:{s:5:"total";a:0:{}}
318	_line_total	150
318	_tax_class	0
318	_tax_status	taxable
319	cost	90.00
319	instance_id	4
319	Items	USB 5V to 12v Cable Step Up Voltage Converter Output jack 5.5x2.1mm &times; 1
319	method_id	flat_rate
319	taxes	a:1:{s:5:"total";a:0:{}}
319	total_tax	0
328	_line_subtotal	295
328	_line_subtotal_tax	0
328	_line_tax	0
